,SEM 1 KT,SEM 2 SGPA,SEM 2 KT,SEM 4 SGPA,SEM 5 SGPA,SEM 6 SGPA,SEM 7 SGPA,SEM 8 SGPA,Label,Hour_per_week_wriassignment,time_to_reach college,Average attendence,Internet at home,2 hr straight lecture,submission on time,"Five lecture straight,woulf you attend all?","Five hr practical staight,do you attend all",Feedback of teacher,preffered transportatin to college,Enrolled to coaching class
71,0,8.41,0,8.0,8.5,8.6,8.3,8.2,1,0,2,3,1,1,1,1,1,22,2,0
90,0,8.64,0,8.96,8.67,8.67,8.41,8.5,1,0,2,2,1,0,1,0,1,20,0,0
99,1,8.35,2,5.9,8.3,7.4,7.93,9.0,1,0,2,3,1,1,0,1,0,20,0,0
58,0,8.5,0,7.9,7.5,7.8,7.7,7.6,1,0,1,2,1,0,1,0,1,10,2,0
143,0,7.04,0,7.0,7.1,7.6,7.1,7.4,1,0,2,2,1,0,1,0,1,23,0,0
7,0,7.42,0,7.0,7.1,7.2,7.6,7.2,1,2,2,1,1,1,1,1,1,12,2,0
230,3,3.2,1,3.4,4.2,4.69,4.2,4.78,2,2,2,4,1,0,1,0,0,3,2,0
81,0,9.0,0,9.2,9.5,9.4,8.9,9.2,1,0,2,1,1,1,1,0,0,20,1,0
141,0,6.8,2,6.9,6.3,6.7,6.4,6.8,1,1,0,2,1,1,1,1,0,23,0,0
0,0,7.93,0,7.3,7.4,7.6,7.9,7.2,1,0,1,1,1,0,1,1,0,13,2,0
167,1,4.8,3,4.85,4.87,4.64,4.74,4.13,2,2,2,4,1,0,1,0,0,15,2,1
64,0,7.0,0,7.6,7.5,7.1,7.2,7.3,1,1,0,2,1,1,1,1,1,20,2,1
241,2,4.1,2,3.4,4.32,3.85,3.8,4.9,2,2,2,4,1,0,0,0,0,18,0,0
188,2,3.4,2,3.7,3.13,4.25,3.77,4.87,2,2,2,0,1,0,1,0,0,8,2,0
176,1,4.59,1,4.12,4.28,4.29,4.87,4.32,2,2,0,4,1,0,1,0,0,5,1,0
13,0,8.0,0,8.1,8.2,8.4,7.9,7.8,1,2,0,3,1,1,1,1,1,27,2,0
27,0,7.37,0,7.6,7.9,7.7,7.4,8.0,1,0,2,3,1,1,1,1,1,12,2,0
59,0,7.8,0,6.8,7.64,8.0,8.1,8.3,1,1,0,2,1,0,1,0,1,11,2,0
181,4,4.68,1,4.27,3.63,4.67,3.11,4.8,2,2,2,4,1,0,1,0,0,25,2,0
